level,section,story,title,course_chapter,words,topics,grammar,focus_expressions,earlier_context_links
A1,3,reading-a1-17-v1,Ein Zimmer für Lea,17,84,housing; furniture; money,es gibt and haben; housing nouns,Zimmer; Miete; Schrank; Waschmaschine; Garten,reading-a1-08-v1; reading-a1-04-v1
A1,3,reading-a1-18-v1,Zehn Minuten für mich,18,85,routine; work; time; body,Reflexive daily routines,zieht sich an; Wecker; Gesicht; halb acht; zieht aus,reading-a1-08-v1; reading-a1-02-v1
A1,4,reading-a1-19-v1,Tee statt Training,19,110,health; appointments; friendship,"Dative phrases: mir geht es, seinem Trainer",Halsschmerzen; lieber; liest vor,reading-a1-13-v1; reading-a1-06-v1
A1,4,reading-a1-20-v1,Mit dem Zug ans Meer,20,97,travel; transport; tickets,"mit, bei and time expressions",hin und zurück; Gleis; Koffer; Abfahrt; später,reading-a1-15-v1; reading-a1-07-v1
A1,4,reading-a1-21-v1,Das Sofa am Fenster,21,91,housing; furniture; possessions,Two-way prepositions with location,Sofa; Teppich; unter; neben; Brille,reading-a1-08-v1
A1,4,reading-a1-22-v1,Die Einladung für Freitag,22,97,celebrations; invitations; family,Dates and time expressions,Nachricht; feiere; Adresse; zu früh; Schüssel,reading-a1-13-v1; reading-a1-07-v1
A1,4,reading-a1-23-v1,Sonne oder Regen?,23,100,weather; nature; leisure; culture,"und, aber, oder, denn",Wetterbericht; Berge; Wolken; Schirm; denn,reading-a1-21-v1; reading-a1-19-v1
A1,4,reading-a1-24-v1,Ein anderer Sonntag,24,111,weather; leisure; past events,Perfect tense in a short report,hat geregnet; haben gegessen; aufgehört,reading-a1-04-v1; reading-a1-03-v1
A2,1,reading-a2-01-v1,Ein Paket für die Nachbarin,1,93,neighbours; health; services,"Dative recipients: ihr helfen, der Nachbarin bringen",Nachbarin; annehmen; Paketbote; Schachtel; gießen,reading-a1-21-v1; reading-a1-20-v1
A2,1,reading-a2-02-v1,Ein Regal zieht um,2,94,housing; furniture; memories,Location versus destination: an die Wand / an der Wand,Regal; umstellen; schieben; vorsichtig; zwischen,reading-a1-21-v1; reading-a1-17-v1
A2,1,reading-a2-03-v1,Ein Abend ohne Bildschirm,3,99,media; leisure; friendship,"für, ohne, durch with accusative",Handys; Brettspiel; Regeln; gemeinsam; Spielplan,reading-a1-19-v1; reading-a1-06-v1
A2,1,reading-a2-04-v1,Warten auf den Termin,4,99,administration; appointments; work,"Dative prepositions: beim Bürgerbüro, nach einem Termin, mit seiner Mappe",Bürgerbüro; anmelden; Unterlagen; Mappe; nachsehen,reading-a1-22-v1; reading-a1-21-v1
A2,1,reading-a2-05-v1,Wem gehört der Schal?,5,93,possessions; family; clothes,"Ownership with von, possessives and names: Toms Schal",Schal; gehören; meiner; Garderobe; vergessen,reading-a1-08-v1
A2,1,reading-a2-06-v1,Die Suppe ist für alle,6,101,food; neighbours; cooperation,"Adjectives with definite articles: der große Topf, das frische Gemüse",jeder; niemand; Topf; Sahne; spülen,reading-a1-09-v1; reading-a1-06-v1
A2,2,reading-a2-07-v1,Ein Hemd fürs Gespräch,7,101,work; clothes; shopping,Adjectives after indefinite articles,Praktikum; Stoff; dünn; angenehm; Schaufenster,reading-a1-11-v1; reading-a1-08-v1
A2,2,reading-a2-08-v1,Das kleine Fahrrad,8,103,transport; shopping; repairs,"Comparisons: kleiner, älter, besser",gebraucht; erreichen; Boden; Schloss; Lampe,reading-a1-11-v1; reading-a1-08-v1
A2,2,reading-a2-09-v1,Frisches Brot am Markt,9,115,food; shopping; ingredients,Selecting with welcher and dieser; adjective review,Zutatenliste; Nüsse; Geschmack; übrig; aufgehoben,reading-a1-03-v1; reading-a1-03-v1
A2,2,reading-a2-10-v1,Ein Handy reicht,10,113,technology; family; money,Relative clauses with a nominative subject: der für ihr Handy passt,Gerät; leichter; Ständer; deutlich; zurücklegen,reading-a1-17-v1; reading-a1-11-v1
A2,2,reading-a2-11-v1,Die Frau mit dem roten Rucksack,11,114,school; friendship; descriptions,"Relative clauses with an accusative object: ein Foto, das sie gefunden hat",Rucksack; begrüßen; winken; Klassenfoto; erkennen,reading-a2-05-v1; reading-a1-03-v1
A2,2,reading-a2-12-v1,Langsam ist auch Sport,12,111,sport; health; confidence,Reflexive verbs and feelings,Lauftreff; außer Atem; abwechseln; Tempo; sich vergleichen,reading-a1-21-v1; reading-a1-12-v1
A2,3,reading-a2-13-v1,Mein erster Tag in der Werkstatt,13,114,work; training; daily experiences,Perfect tense: haben and sein,Werkstatt; Werkzeuge; Reparatur; aufpumpen; Fleck,reading-a2-10-v1; reading-a1-20-v1
A2,3,reading-a2-14-v1,Früher war der Schulweg länger,14,116,education; routine; time,"Preterite of sein, haben and modal verbs",früher; Sporthalle; Berufsschule; entfernt; pünktlich,reading-a1-18-v1; reading-a1-13-v1
A2,3,reading-a2-15-v1,Ein Sommer zwischen zwei Städten,15,117,work; travel; housing; plans,Future plans with present and werden,möbliert; Schlüsselübergabe; hoffentlich; organisieren; besprechen,reading-a1-20-v1; reading-a1-17-v1
A2,3,reading-a2-16-v1,Die Nachricht nach dem Streit,16,118,feelings; relationships; work,weil and dass; apology as a fixed phrase,enttäuscht; Bescheid sagen; Abwesenheit; Erklärung; Akku,reading-a2-14-v1; reading-a1-22-v1
A2,3,reading-a2-17-v1,Wenn Besuch kommt,17,120,family; restaurant; habits,Repeated wenn versus past als,normalerweise; reservieren; Gericht; Zutaten; Dose,reading-a2-05-v1; reading-a1-20-v1
A2,3,reading-a2-18-v1,Eine Frage am Ticketschalter,18,117,travel; transport; clarification,Indirect questions with ob and W-words,umsteigen; Verbindung; Strecke; Ankunftszeit; ausreichen,reading-a1-20-v1; reading-a1-20-v1
A2,4,reading-a2-19-v1,Ein Lernplan mit Pausen,19,119,learning; work; time management,Infinitives with zu,Abendkurs; erschöpft; regelmäßig; beschließen; wiederholen,reading-a2-10-v1; reading-a2-06-v1
A2,4,reading-a2-20-v1,Eine Bank für den Hof,20,130,community; environment; housing,Purpose: um … zu and damit,Hof; Mülltonne; Erlaubnis; stabil; streichen,reading-a1-21-v1; reading-a1-13-v1
A2,4,reading-a2-21-v1,Das Geschenk kommt zurück,21,121,family; gifts; reading,"Dative and accusative objects: ihr beides, es dir",einpacken; beides; Exemplar; unabhängig; einander,reading-a2-06-v1; reading-a1-22-v1
A2,4,reading-a2-22-v1,Vom Büro direkt ins Konzert,22,126,office; entertainment; transport; technology,Time–manner–place in plans,Haupteingang; Eintrittskarte; ausdrucken; Beginn; zusätzlich,reading-a2-16-v1; reading-a1-09-v1
A2,4,reading-a2-23-v1,Trotzdem kommen wir,23,128,community; weather; celebrations,"deshalb, trotzdem and sonst",absagen; stattfinden; Gemeinschaftsraum; Karton; abbauen,reading-a2-08-v1; reading-a2-06-v1
A2,4,reading-a2-24-v1,Die Jacke bekommt ein zweites Leben,24,126,repairs; environment; clothes; community,Recognising present passive in a process,Reißverschluss; ersetzen; entfernen; einnähen; Material,reading-a2-14-v1; reading-a2-14-v1
B1,1,reading-b1-01-v1,"Ein ruhiges Zimmer, bitte",1,146,travel; accommodation; preferences,Adjective endings in practical descriptions,Unterkunft; Stadtrand; Innenhof; Gesamtkosten; Bestätigung,reading-a1-17-v1; reading-a1-12-v1
B1,1,reading-b1-02-v1,Der Preis des kleinen Druckers,2,146,shopping; advertising; technology; money,"Genitive: des Druckers, eines Jahres; trotz",Patrone; Abo; Kaufpreis; Bedarf; anschaffen,reading-a2-19-v1; reading-a2-19-v1
B1,1,reading-b1-03-v1,"Ein Ort, an dem man bleiben kann",3,143,community; education; accessibility; town,Relative clauses with prepositions; whose as an extension,Verwaltung; Bewohner; Treffpunkt; Zugang; barrierearm,reading-a2-03-v1; reading-a1-09-v1
B1,1,reading-b1-04-v1,Das Gespräch mit dem Kunden,4,149,work; services; complaints,"N-declension: Kunden, Kollegen; polite service language",Zusage; Ersatzteil; verspätet; Leihrad; enttäuscht,reading-a2-19-v1; reading-a2-13-v1
B1,1,reading-b1-05-v1,Worauf können wir verzichten?,5,152,money; media; habits; relationships,"da- and wo-compounds: darauf, worauf, wofür",verzichten auf; kündigen; mitreden; dicht; bewusst,reading-a1-23-v1; reading-a1-20-v1
B1,1,reading-b1-06-v1,Jemand muss den Anfang machen,6,150,housing; community; responsibility,Indefinite pronouns in connected text,Zustimmung; entsorgen; zuordnen; beschriften; Gegenstand,reading-a2-08-v1; reading-a2-06-v1
B1,2,reading-b1-07-v1,Der Brief im alten Schulbuch,7,161,education; biography; goals; change,Narrative preterite with past background,zukünftig; aufgeben; Berufsbezeichnung; umgehen mit; Fund,reading-b1-04-v1; reading-a2-15-v1
B1,2,reading-b1-08-v1,Bevor der Zug abfuhr,8,149,travel; technology; problem solving,Pluperfect for earlier events,Ladegerät; Buchungsnummer; Bahnsteig; ankündigen; umständlich,reading-b1-01-v1; reading-a2-07-v1
B1,2,reading-b1-09-v1,Ein Plan mit offenen Fragen,9,152,work; education; housing; future,Future plans versus assumptions,zuverlässig; Mietvertrag; Zusage; erneut; vorbereiten,reading-a2-13-v1; reading-a2-03-v1
B1,2,reading-b1-10-v1,Wie aus einer Wiese ein Garten wurde,10,156,environment; community; local news,Passive in present and past,Grundstück; Beet; Pflege; ernten; Aufwand,reading-b1-03-v1; reading-a2-03-v1
B1,2,reading-b1-11-v1,Reparieren statt ersetzen,11,149,technology; services; environment; consumer choices,"Passive alternatives: man, sich lassen",beheben; beschädigt; austauschen; Schätzung; gefährlich,reading-a2-13-v1; reading-a2-10-v1
B1,2,reading-b1-12-v1,Wenn ich die Arbeitszeit ändern könnte,12,149,work; education; negotiation,Present Konjunktiv II for proposals,Bedenken; betreuen; Einwand; Bilanz ziehen; Vorschlag,reading-a2-19-v1; reading-a2-14-v1
B1,3,reading-b1-13-v1,Eine Entschuldigung ohne Aber,13,159,relationships; privacy; media; conflict,Past Konjunktiv II as supported extension,veröffentlichen; beachten; Rechtfertigung; Absicht; zustimmen,reading-a2-16-v1; reading-a2-14-v1
B1,3,reading-b1-14-v1,Falls die Wanderung ausfällt,14,160,travel; weather; group planning; culture,Conditions with wenn and falls,angekündigt; Vorhersage; Eintrittskosten; Treffpunkt; Alternative,reading-a2-15-v1; reading-a2-14-v1
B1,3,reading-b1-15-v1,Nähe ist nicht für alle gleich,15,160,housing; city and country; transport; opinions,Contrast with obwohl and während,teilweise; erreichen; Nähe; Freiheit; Stadtteil,reading-a2-03-v1; reading-a1-12-v1
B1,3,reading-b1-16-v1,Seitdem die Musik leiser ist,16,151,music; neighbours; conflict resolution,"Time clauses: bevor, nachdem, seitdem, sobald",ausreden lassen; Griff; Chor; begleiten; Auftritt,reading-a2-14-v1; reading-a2-03-v1
B1,3,reading-b1-17-v1,"Helfen, ohne alles zu übernehmen",17,183,work; services; integration; boundaries,"Infinitive clauses: ohne … zu, statt … zu",erreichbar; Kleinigkeit; zuständig; Beratungsstelle; gegenseitig,reading-a2-10-v1; reading-a2-06-v1
B1,3,reading-b1-18-v1,Ein Lied und zwei Meinungen,18,178,music; culture; media; mediation,"Paired conjunctions: sowohl … als auch, weder … noch, nicht nur … sondern auch",Volkslied; Herkunft; Klang; Verständlichkeit; Bewertung,reading-b1-15-v1; reading-b1-13-v1
B1,4,reading-b1-19-v1,Lernen braucht auch Erholung,19,169,health; learning; habits; wellbeing,"Nominalised everyday verbs: Lernen, Wiederholen, Abschalten",Pause; Abschalten; ausgeruht; Erschöpfung; aufmerksam,reading-b1-12-v1; reading-a2-19-v1
B1,4,reading-b1-20-v1,Das Bild hinter der Tür,20,177,art; museums; perspectives; leisure,"Participles as adjectives: wartende, abfahrende, ankommende",wartend; Betrachter; darstellen; Gedächtnis; Mittelpunkt,reading-a2-16-v1; reading-a1-21-v1
B1,4,reading-b1-21-v1,Was stand wirklich in der Nachricht?,21,169,media literacy; local institutions; community,Reported statements with dass; recognising Konjunktiv I as an extension,Mitteilung; empört; sperren; das Vorhaben; Grundlage,reading-a1-22-v1; reading-a1-20-v1
B1,4,reading-b1-22-v1,Die Karte ist weg,22,181,banking; shopping; services; problem solving,"Pronoun and object order: sie ihr, es ihm",Sperrung; Identität; Bargeld; Betrag; überschaubar,reading-a2-02-v1; reading-a1-24-v1
B1,4,reading-b1-23-v1,Drei Stimmen für einen neuen Platz,23,180,town; environment; civic participation; mediation,Cohesion and reference across paragraphs,umgestalten; Lieferung; Anliegen; Entwurf; Erreichbarkeit,reading-b1-17-v1; reading-b1-12-v1
B1,4,reading-b1-24-v1,Eine Idee wird ein gemeinsames Projekt,24,191,volunteering; institutions; Europe; intercultural exchange,"Formal register, paragraphing and punctuation",Gesprächsnachmittag; Bedingungen; Rückmeldung; Partnerstadt; betreuen,reading-b1-23-v1; reading-b1-13-v1
